"nomor","id_kasus","status_judgment","status_konsensus","butuh_arbiter","sumber_dokumen","catatan"
"1","CS-MIN-011","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"2","CS-MIN-004","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"3","CS-JAW-006","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"4","CS-LIN-052","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"5","CS-NAS-066","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"6","CS-BAL-002","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"7","CS-NAS-010","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"8","CS-LIN-017","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"9","CS-MIN-013","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"10","CS-BAL-014","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"11","CS-JAW-015","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"12","CS-LIN-016","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"13","CS-BAL-012","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"14","CS-LIN-018","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"15","CS-MIN-005","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"16","CS-JAW-011","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"17","CS-BAL-009","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"18","CS-NAS-022","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"19","CS-MIN-015","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"20","CS-JAW-019","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
"21","CS-BAL-020","triangulated","TBD","TBD","docs\paket_kerja_4_jam_ahli3_batch1_terisi_2026-02-08.md",""
